Date,Open,High,Low,Close,Adj Close,Volume
1984-10-17,0.144531,0.148438,0.144531,0.144531,0.106628,9868800
1984-10-18,0.148438,0.156250,0.148438,0.148438,0.109510,5324800
1984-10-19,0.148438,0.148438,0.144531,0.144531,0.106628,3043200
1984-10-22,0.144531,0.148438,0.144531,0.144531,0.106628,2326400
1984-10-23,0.144531,0.144531,0.140625,0.140625,0.103746,787200
1984-10-24,0.144531,0.148438,0.144531,0.144531,0.106628,230400
1984-10-25,0.144531,0.148438,0.140625,0.140625,0.103746,1587200
1984-10-26,0.140625,0.144531,0.140625,0.140625,0.103746,758400
1984-10-29,0.140625,0.144531,0.140625,0.140625,0.103746,614400
1984-10-30,0.140625,0.148438,0.140625,0.140625,0.103746,192000
1984-10-31,0.144531,0.148438,0.144531,0.144531,0.106628,297600
1984-11-01,0.144531,0.144531,0.140625,0.140625,0.103746,352000
1984-11-02,0.140625,0.144531,0.140625,0.140625,0.103746,1638400
1984-11-05,0.140625,0.140625,0.136719,0.136719,0.100864,534400
1984-11-06,0.136719,0.140625,0.136719,0.136719,0.100864,544000
1984-11-07,0.136719,0.140625,0.136719,0.136719,0.100864,76800
1984-11-08,0.136719,0.140625,0.136719,0.136719,0.100864,44800
1984-11-09,0.136719,0.140625,0.136719,0.136719,0.100864,896000
1984-11-12,0.136719,0.140625,0.136719,0.136719,0.100864,300800
1984-11-13,0.136719,0.140625,0.136719,0.136719,0.100864,464000
1984-11-14,0.136719,0.140625,0.132813,0.132813,0.097982,1523200
1984-11-15,0.132813,0.136719,0.132813,0.132813,0.097982,156800
1984-11-16,0.132813,0.136719,0.125000,0.125000,0.092219,579200
1984-11-19,0.125000,0.136719,0.125000,0.125000,0.092219,358400
1984-11-20,0.125000,0.128906,0.121094,0.121094,0.089337,179200
1984-11-21,0.121094,0.128906,0.121094,0.121094,0.089337,905600
1984-11-23,0.121094,0.128906,0.121094,0.121094,0.089337,25600
1984-11-26,0.125000,0.128906,0.125000,0.125000,0.092219,166400
1984-11-27,0.128906,0.132813,0.128906,0.128906,0.095101,147200
1984-11-28,0.128906,0.132813,0.128906,0.128906,0.095101,492800
1984-11-29,0.128906,0.132813,0.128906,0.128906,0.095101,262400
1984-11-30,0.128906,0.132813,0.128906,0.128906,0.095101,556800
1984-12-03,0.128906,0.132813,0.125000,0.125000,0.092219,380800
1984-12-04,0.125000,0.128906,0.121094,0.121094,0.089337,217600
